2025-12-30T10:44:06.741076 | CALL STARTED | call_id=9f503f88-5335-4503-9dc7-2d65e45f751d
2025-12-30T10:44:56.798349 | SCHEMA VALIDATION FAILED | errors=['Missing required field: intent', 'Missing required field: urgency', 'Missing required field: service_city', 'Missing required field: caller_phone']
2025-12-30T10:44:56.798798 | CALL ENDED | terminal_state=FAIL_CLOSED
2025-12-30T11:11:11.179533 | CALL STARTED | call_id=bd17f22a-8484-4e16-af81-54e58a4eea50
2025-12-30T11:11:40.842700 | SCHEMA VALIDATION FAILED | errors=['Missing required field: intent', 'Missing required field: urgency', 'Missing required field: service_city', 'Missing required field: caller_phone']
2025-12-30T11:11:40.842971 | CALL ENDED | terminal_state=FAIL_CLOSED
2025-12-30T11:13:03.194189 | CALL STARTED | call_id=98377070-7f8b-4825-8bd9-9752926cab15
2025-12-30T11:18:52.662293 | CALL STARTED | call_id=ec93ca34-9503-4f36-9818-8fc58d5288c8
2025-12-30T11:19:26.016499 | SCHEMA VALIDATION FAILED | errors=['Missing required field: intent', 'Missing required field: urgency', 'Missing required field: service_city', 'Missing required field: caller_phone']
2025-12-30T11:19:26.017043 | CALL ENDED | terminal_state=FAIL_CLOSED
2025-12-30T11:31:33.869775 | CALL STARTED | call_id=c0000dda-b971-40d4-acf0-72a8994ce00b
2025-12-30T11:32:19.245027 | SCHEMA VALIDATION FAILED | errors=['Missing required field: intent', 'Missing required field: urgency', 'Missing required field: service_city', 'Missing required field: caller_phone']
2025-12-30T11:32:19.245331 | CALL ENDED | terminal_state=FAIL_CLOSED
2025-12-30T11:32:56.776157 | CALL STARTED | call_id=4de87506-2161-4c94-92ec-5eec0753743f
2025-12-30T11:47:30.196456 | CALL STARTED | call_id=d2cb66b2-2ba5-4682-aed9-309da99cbda5
2025-12-30T11:47:37.474937 | SCHEMA VALIDATION FAILED | errors=['Missing required field: intent', 'Missing required field: urgency', 'Missing required field: service_city', 'Missing required field: caller_phone']
2025-12-30T11:47:37.475426 | CALL ENDED | terminal_state=FAIL_CLOSED
2025-12-30T11:52:50.833296 | CALL STARTED | call_id=b178ba0b-18e0-4759-aaa7-711217260860
2025-12-30T11:52:51.533143 | CALL STARTED | call_id=b9cd8e45-05c3-4d64-a1be-cc7c2c8a0020
2025-12-30T11:53:13.812308 | SCHEMA VALIDATION FAILED | errors=['Missing required field: intent', 'Missing required field: urgency', 'Missing required field: service_city', 'Missing required field: caller_phone']
2025-12-30T11:53:13.812885 | CALL ENDED | terminal_state=FAIL_CLOSED
2025-12-30T11:53:14.640907 | SCHEMA VALIDATION FAILED | errors=['Missing required field: intent', 'Missing required field: urgency', 'Missing required field: service_city', 'Missing required field: caller_phone']
2025-12-30T11:53:14.641105 | CALL ENDED | terminal_state=FAIL_CLOSED
